P1_Mass_Flow_Rate (kg/day),P2_Mass_Flow_Rate (kg/day),P3_Mass_Flow_Rate (kg/day),P4_Mass_Flow_Rate (kg/day),P5_Mass_Flow_Rate (kg/day),P6_Mass_Flow_Rate (kg/day),I1_Mass_Flow_Rate (kg/day),I2_Mass_Flow_Rate (kg/day),I3_Mass_Flow_Rate (kg/day),I4_Mass_Flow_Rate (kg/day),OrigUnscValue,Varied,Delta,PosDeltaRes,NegDeltaRes,SI
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,15045060.0,P1_Mass_Flow_Rate (kg/day),0.05,26325776.37942725,25320129.37976665,0.6684233892457724
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,7283091.0,P2_Mass_Flow_Rate (kg/day),0.05,25529494.169606447,25110373.607337564,0.5754707201501161
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,7853804.0,P3_Mass_Flow_Rate (kg/day),0.05,25348600.757381376,24872852.400515363,0.6057553217090893
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,7812033.0,P4_Mass_Flow_Rate (kg/day),0.05,25124989.931663226,24621090.673083264,0.6450296082722153
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,15361240.0,P5_Mass_Flow_Rate (kg/day),0.05,25164453.004226226,24080260.54811762,0.7057974851695614
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,7110806.0,P6_Mass_Flow_Rate (kg/day),0.05,24345440.555851784,23815457.16033977,0.7453211288734563
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,6819763.0,I1_Mass_Flow_Rate (kg/day),0.05,23647957.598499306,23983019.150424488,0.49130967150204824
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,10113550.0,I2_Mass_Flow_Rate (kg/day),0.05,23739644.012397915,24228688.57834818,0.48355381241034384
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,21964140.0,I3_Mass_Flow_Rate (kg/day),0.05,23675616.07463436,24783649.309392005,0.5044737625773861
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,10778600.0,I4_Mass_Flow_Rate (kg/day),0.05,24514809.79227466,25053548.343088616,0.4998223802849668
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,15045060,P1_Mass_Flow_Rate (kg/day),0.05,26325776.37942725,25320129.37976665,0.6684233892457724
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,10924640,P2_Mass_Flow_Rate (kg/day),0.05,27747863.986429557,27104604.29071281,0.5888154627674195
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,7853807,P3_Mass_Flow_Rate (kg/day),0.05,27352190.127230845,26857751.917864677,0.6295522787435046
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,5859026,P4_Mass_Flow_Rate (kg/day),0.05,25740112.787421465,25345294.36617489,0.6738635760390436
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,7680621,P5_Mass_Flow_Rate (kg/day),0.05,20243547.953716602,19712290.14638616,0.691686007329929
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,3555404,P6_Mass_Flow_Rate (kg/day),0.05,17353408.65650609,17106088.616495974,0.6956172632142985
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,6819764,I1_Mass_Flow_Rate (kg/day),0.05,16958098.93019127,17254763.59098528,0.43500722428812566
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,7585165,I2_Mass_Flow_Rate (kg/day),0.05,18291494.79046599,18675392.860996474,0.5061169671727449
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,27455170,I3_Mass_Flow_Rate (kg/day),0.05,15532041.516296996,16742193.574358748,0.44077383533292724
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,8083947,I4_Mass_Flow_Rate (kg/day),0.05,17784240.429682508,18162846.284380194,0.4683428215173673
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,18806320,P1_Mass_Flow_Rate (kg/day),0.05,29069993.94849844,27741320.020438123,0.706503945514229
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,3641545,P2_Mass_Flow_Rate (kg/day),0.05,25679121.98418523,25460194.47755366,0.601194016911975
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,9817260,P3_Mass_Flow_Rate (kg/day),0.05,26974403.85750327,26364546.262125965,0.6212095792281183
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,7812034,P4_Mass_Flow_Rate (kg/day),0.05,26603342.581233554,26126510.013039388,0.6103820953597563
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,7680621,P5_Mass_Flow_Rate (kg/day),0.05,20998160.575621847,20469261.0901921,0.688615523965769
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,3555404,P6_Mass_Flow_Rate (kg/day),0.05,17915800.023459785,17650402.53904587,0.7464622428672364
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,6819764,I1_Mass_Flow_Rate (kg/day),0.05,17490554.57064775,17810854.961868417,0.4696649198134517
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,5056777,I2_Mass_Flow_Rate (kg/day),0.05,20247553.8265055,20524351.05361266,0.5473787495615484
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,21964140,I3_Mass_Flow_Rate (kg/day),0.05,19943821.972164523,21106508.51865642,0.5293567362491309
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,10778600,I4_Mass_Flow_Rate (kg/day),0.05,20822475.427368112,21392205.83976745,0.5285755222378943
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,18806320,P1_Mass_Flow_Rate (kg/day),0.05,29069993.94849844,27741320.020438123,0.706503945514229
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,5462319,P2_Mass_Flow_Rate (kg/day),0.05,26820138.163106523,26495176.262387708,0.594915640625924
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,9817258,P3_Mass_Flow_Rate (kg/day),0.05,28030278.744461205,27412560.763826795,0.629216407101056
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,5859026,P4_Mass_Flow_Rate (kg/day),0.05,26382017.37103809,26020694.98319853,0.6166936071619403
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,15361250,P5_Mass_Flow_Rate (kg/day),0.05,26572677.83529612,25472867.84246063,0.7159638654637428
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,8888509,P6_Mass_Flow_Rate (kg/day),0.05,27032545.385011062,26406840.616424225,0.7039479496356889
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,5114823,I1_Mass_Flow_Rate (kg/day),0.05,27132556.473055743,27390268.565806292,0.5038533938526305
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,12641940,I2_Mass_Flow_Rate (kg/day),0.05,25884694.972911708,26471454.110776104,0.4641369424822424
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,27455170,I3_Mass_Flow_Rate (kg/day),0.05,23089249.982347958,24427788.153710295,0.48753592542400453
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,5389298,I4_Mass_Flow_Rate (kg/day),0.05,26916072.446003336,27181927.188189395,0.4933012466300032
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,18806320,P1_Mass_Flow_Rate (kg/day),0.05,29069993.94849844,27741320.020438123,0.706503945514229
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,9103864,P2_Mass_Flow_Rate (kg/day),0.05,29119055.922827903,28562490.805002246,0.6113504307903294
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,3926903,P3_Mass_Flow_Rate (kg/day),0.05,26198973.851661023,25955934.303912252,0.6189089665539753
15045060,7283091,7853806,7812035,15361250,7110818,6819765,10113550,21964140,10778600,9765042,P4_Mass_Flow_Rate (kg/day),0.05,27561231.450205866,26918319.153352708,0.6583814968262898
